name,filename,response,RT,environment,width,shoulder,lanes
Pablo,159.png,70.0,19588.29888399998,urban,8.3,0.0,2
Bouke ,159.png,70.0,41515.54770500002,urban,8.3,0.0,2
Inga,159.png,50.0,9292.665689999922,urban,8.3,0.0,2
Simen,159.png,50.0,9513.599485995655,urban,8.3,0.0,2
Ewa,159.png,70.0,9171.738973993342,urban,8.3,0.0,2
Algha,159.png,60.0,4063.254862994654,urban,8.3,0.0,2
Sietske,159.png,50.0,7244.9311560048955,urban,8.3,0.0,2
Kevin Brachthuizen,159.png,50.0,7636.8747719971,urban,8.3,0.0,2
Patryk,159.png,60.0,6648.1312539981445,urban,8.3,0.0,2
Hadi,159.png,50.0,8260.954798010061,urban,8.3,0.0,2
Amir,159.png,50.0,4989.760808995925,urban,8.3,0.0,2
Mehrdad,159.png,60.0,14119.912805006607,urban,8.3,0.0,2
Pablo,11.png,110.0,10071.317944999975,highway,11.1,0.0,3
Bouke ,11.png,80.0,21269.372652000016,highway,11.1,0.0,3
Simas Vaznonis,11.png,90.0,16230.943333000141,highway,11.1,0.0,3
Thijs,11.png,110.0,152830.2822100013,highway,11.1,0.0,3
Patryk,11.png,90.0,19675.58035100228,highway,11.1,0.0,3
Max ,11.png,140.0,4701.0077009908855,highway,11.1,0.0,3
Pablo,49.png,70.0,9025.95104599999,urban,8.1,0.0,2
Bouke ,49.png,60.0,64566808.005276,urban,8.1,0.0,2
Maciej Martys,49.png,45.0,8571.05262499681,urban,8.1,0.0,2
Marcel,49.png,60.0,5712.596158999077,urban,8.1,0.0,2
Luke,49.png,60.0,8146.339589002309,urban,8.1,0.0,2
Sandor_likes_dick,49.png,60.0,4434.563150993199,urban,8.1,0.0,2
Misiek,49.png,60.0,3337.903790990822,urban,8.1,0.0,2
Mehr,49.png,40.0,14373.331816997961,urban,8.1,0.0,2
Pablo,20.png,50.0,8535.827885000002,nature,7.5,0.0,1
Bouke ,20.png,70.0,6594.251128997712,nature,7.5,0.0,1
BolekS,20.png,80.0,8092.410020006355,nature,7.5,0.0,1
Sandor_likes_dick,20.png,60.0,5025.976245000493,nature,7.5,0.0,1
Gideon,20.png,50.0,6476.1083489866,nature,7.5,0.0,1
Mj,20.png,80.0,9923.742842991487,nature,7.5,0.0,1
Mehrdad,20.png,40.0,8198.258424003143,nature,7.5,0.0,1
Pablo,134.png,70.0,14712.589510000043,nature,3.0,0.0,1
Bouke ,134.png,80.0,10518.232777001685,nature,3.0,0.0,1
Anželika,134.png,70.0,25974.507847000496,nature,3.0,0.0,1
Liset Middelkoop,134.png,60.0,6502.845503000572,nature,3.0,0.0,1
Jerzy,134.png,100.0,11654.004546995566,nature,3.0,0.0,1
Marta,134.png,100.0,9332.01110099617,nature,3.0,0.0,1
Marcin,134.png,80.0,6528.299100995355,nature,3.0,0.0,1
Ewa,134.png,100.0,4529.636999999639,nature,3.0,0.0,1
Sietske,134.png,60.0,8427.251522996812,nature,3.0,0.0,1
Pablo,167.png,50.0,9847.26296499997,urban,6.0,0.0,2
Bouke ,167.png,50.0,5811.902910005301,urban,6.0,0.0,2
Simas Vaznonis,167.png,30.0,19073.927232000187,urban,6.0,0.0,2
Liset Middelkoop,167.png,50.0,6906.946679000612,urban,6.0,0.0,2
Thijs,167.png,50.0,6233.309568997356,urban,6.0,0.0,2
Stuart Burton,167.png,50.0,23532.03240899893,urban,6.0,0.0,2
Jerzy,167.png,50.0,5901.398630994663,urban,6.0,0.0,2
Mariusz,167.png,40.0,20052.83286300255,urban,6.0,0.0,2
Sandra,167.png,40.0,8430.269256001338,urban,6.0,0.0,2
Big A,167.png,30.0,11049.816039012512,urban,6.0,0.0,2
Amir,167.png,50.0,5397.955467007705,urban,6.0,0.0,2
Pablo,210.png,70.0,11189.669492000008,suburban,7.2,0.0,1
Bouke ,210.png,110.0,6309.960689999571,suburban,7.2,0.0,1
Stuart Burton,210.png,70.0,10611.844856000971,suburban,7.2,0.0,1
Marta,210.png,90.0,7691.937348005013,suburban,7.2,0.0,1
Artur,210.png,90.0,8335.064893995877,suburban,7.2,0.0,1
Iza,210.png,120.0,16223.451245998149,suburban,7.2,0.0,1
Marcel,210.png,70.0,3346.8295189959463,suburban,7.2,0.0,1
Sietske,210.png,60.0,11337.276434001978,suburban,7.2,0.0,1
Pablo,51.png,70.0,6801.336559999982,urban,8.5,0.0,2
Bouke ,51.png,70.0,4550.279089999094,urban,8.5,0.0,2
Stuart Burton,51.png,80.0,4391.809228996863,urban,8.5,0.0,2
Marta,51.png,50.0,8557.176451999112,urban,8.5,0.0,2
gs,51.png,50.0,5295.994544998393,urban,8.5,0.0,2
BolekS,51.png,50.0,6264.4269349984825,urban,8.5,0.0,2
Marcel,51.png,70.0,4019.5897400044487,urban,8.5,0.0,2
Sandor_likes_dick,51.png,50.0,6555.376001007971,urban,8.5,0.0,2
Sandra,51.png,50.0,6333.010991002084,urban,8.5,0.0,2
Big A,51.png,40.0,14739.268037999864,urban,8.5,0.0,2
Pablo,118.png,90.0,7697.522650999986,highway,6.0,0.0,1
Bouke ,118.png,90.0,5527.616814993962,highway,6.0,0.0,1
Simas Vaznonis,118.png,80.0,24787.201104999895,highway,6.0,0.0,1
Inga,118.png,100.0,8281.627356999707,highway,6.0,0.0,1
Liset Middelkoop,118.png,70.0,8895.898115000819,highway,6.0,0.0,1
Thijs,118.png,110.0,4671.947746006481,highway,6.0,0.0,1
Jerzy,118.png,120.0,9584.454189003736,highway,6.0,0.0,1
Algha,118.png,100.0,4013.001005994738,highway,6.0,0.0,1
Sietske,118.png,80.0,7033.759407000616,highway,6.0,0.0,1
Sandra,118.png,100.0,24820.896677003475,highway,6.0,0.0,1
Kevin Brachthuizen,118.png,80.0,6587.220809000428,highway,6.0,0.0,1
Weronika,118.png,60.0,7209.846436002408,highway,6.0,0.0,1
Vincent,118.png,100.0,11880.00039299368,highway,6.0,0.0,1
Big A,118.png,80.0,8958.184836999862,highway,6.0,0.0,1
Hadi,118.png,80.0,7285.46551198815,highway,6.0,0.0,1
Amir,118.png,150.0,8557.850710989442,highway,6.0,0.0,1
Max ,118.png,140.0,14304.092002974357,highway,6.0,0.0,1
Pablo,150.png,90.0,11081.834971999968,suburban,6.1,0.0,2
Bouke ,150.png,80.0,6867.545757995686,suburban,6.1,0.0,2
Simas Vaznonis,150.png,60.0,20269.95197300039,suburban,6.1,0.0,2
Thijs,150.png,60.0,4478.950996999629,suburban,6.1,0.0,2
Marcin,150.png,90.0,11410.985084999993,suburban,6.1,0.0,2
Mariusz,150.png,120.0,11346.468383999309,suburban,6.1,0.0,2
Iza,150.png,90.0,25778.737208995153,suburban,6.1,0.0,2
Pablo,86.png,50.0,7953.652981999994,nature,2.9,0.0,1
Bouke ,86.png,60.0,4977.684457997384,nature,2.9,0.0,1
Karole,86.png,80.0,12437.515116999748,nature,2.9,0.0,1
Britt,86.png,50.0,10697.940568999911,nature,2.9,0.0,1
Stuart Burton,86.png,50.0,13213.75273099693,nature,2.9,0.0,1
Simen,86.png,40.0,13743.58922400279,nature,2.9,0.0,1
Iza,86.png,60.0,12011.588870009291,nature,2.9,0.0,1
Ewa,86.png,70.0,10036.882626998704,nature,2.9,0.0,1
Luke,86.png,50.0,3294.996323995292,nature,2.9,0.0,1
Misiek,86.png,100.0,3160.4220009903656,nature,2.9,0.0,1
Pablo,100.png,160.0,10800.153294999973,urban,3.3,0.0,5
Bouke ,100.png,110.0,10710.620065001422,urban,3.3,0.0,5
Simas Vaznonis,100.png,90.0,23739.397628000006,urban,3.3,0.0,5
Thijs,100.png,120.0,4585.142803000053,urban,3.3,0.0,5
Marcin,100.png,100.0,8793.395792003139,urban,3.3,0.0,5
Artur,100.png,140.0,8530.784625996603,urban,3.3,0.0,5
Algha,100.png,130.0,4676.389190004556,urban,3.3,0.0,5
Luke,100.png,120.0,8810.985292991973,urban,3.3,0.0,5
Misiek,100.png,140.0,3940.6909060053295,urban,3.3,0.0,5
Mehr,100.png,40.0,11859.139278996736,urban,3.3,0.0,5
Amir,100.png,100.0,23740.883992999443,urban,3.3,0.0,5
Mehrdad,100.png,110.0,11288.59655400447,urban,3.3,0.0,5
Pablo,116.png,100.0,6125.602397000022,highway,6.0,1.6,1
Bouke ,116.png,80.0,6661.972547000914,highway,6.0,1.6,1
Sigitas ,116.png,88.0,10271.379884999988,highway,6.0,1.6,1
Inga,116.png,80.0,13261.248815999807,highway,6.0,1.6,1
Liset Middelkoop,116.png,80.0,6416.239094000048,highway,6.0,1.6,1
Stefanie,116.png,80.0,5768.143926999983,highway,6.0,1.6,1
Stuart Burton,116.png,74.5,12043.510681993212,highway,6.0,1.6,1
Jerzy,116.png,80.0,9861.278541000502,highway,6.0,1.6,1
Marcin,116.png,80.0,20268.30644700385,highway,6.0,1.6,1
Artur,116.png,80.0,10300.531490996946,highway,6.0,1.6,1
Luke,116.png,75.0,12012.004668009467,highway,6.0,1.6,1
Sandra,116.png,50.0,9898.681559992838,highway,6.0,1.6,1
Misiek,116.png,100.0,3736.2374999938766,highway,6.0,1.6,1
Big A,116.png,70.0,8252.6419479982,highway,6.0,1.6,1
Mehrdad,116.png,100.0,13508.295032996102,highway,6.0,1.6,1
Max ,116.png,100.0,6784.350186993834,highway,6.0,1.6,1
Pablo,102.png,80.0,8834.368769000037,urban,5.5,0.0,3
Bouke ,102.png,60.0,5162.71375100041,urban,5.5,0.0,3
Anželika,102.png,60.0,12105.641635000211,urban,5.5,0.0,3
Marta,102.png,40.0,29296.31822599913,urban,5.5,0.0,3
Cedric ,102.png,45.0,8072.275601000001,urban,5.5,0.0,3
gs,102.png,50.0,7258.28077699407,urban,5.5,0.0,3
Mariusz,102.png,60.0,31869.73991999548,urban,5.5,0.0,3
Artur,102.png,60.0,8761.805006004579,urban,5.5,0.0,3
BolekS,102.png,40.0,12538.831230005599,urban,5.5,0.0,3
Ewa,102.png,20.0,6470.183941011783,urban,5.5,0.0,3
Algha,102.png,30.0,4721.282462996896,urban,5.5,0.0,3
Luke,102.png,40.0,5811.9890990055865,urban,5.5,0.0,3
Sandor_likes_dick,102.png,30.0,5925.61277000641,urban,5.5,0.0,3
Misiek,102.png,60.0,3176.55215600098,urban,5.5,0.0,3
Mehr,102.png,50.0,10042.345134002971,urban,5.5,0.0,3
Pablo,15.png,100.0,5738.811614000042,highway,7.0,3.2,2
Bouke ,15.png,100.0,6448.853248002706,highway,7.0,3.2,2
Karole,15.png,100.0,5547.940216999905,highway,7.0,3.2,2
Liset Middelkoop,15.png,80.0,12332.457188000262,highway,7.0,3.2,2
Britt,15.png,70.0,8784.687741999733,highway,7.0,3.2,2
Jerzy,15.png,100.0,4904.356833998463,highway,7.0,3.2,2
Marta,15.png,100.0,18319.71087900456,highway,7.0,3.2,2
gs,15.png,90.0,7109.736421996786,highway,7.0,3.2,2
Artur,15.png,90.0,17537.1805629984,highway,7.0,3.2,2
Sietske,15.png,120.0,5131.312444005744,highway,7.0,3.2,2
Weronika,15.png,60.0,9147.764781009755,highway,7.0,3.2,2
Pablo,95.png,180.0,8392.724668999961,suburban,3.6,0.0,3
Bouke ,95.png,100.0,40011.9120399977,suburban,3.6,0.0,3
Karole,95.png,140.0,11557.937366999795,suburban,3.6,0.0,3
Simas Vaznonis,95.png,140.0,19997.45086100029,suburban,3.6,0.0,3
Britt,95.png,110.0,9853.386583999963,suburban,3.6,0.0,3
Thijs,95.png,120.0,9744.197754000197,suburban,3.6,0.0,3
Marcin,95.png,90.0,5314.609873996233,suburban,3.6,0.0,3
Simen,95.png,70.0,13420.890317996964,suburban,3.6,0.0,3
Artur,95.png,120.0,10627.0661439994,suburban,3.6,0.0,3
Marcel,95.png,150.0,5988.659141003154,suburban,3.6,0.0,3
Algha,95.png,90.0,3868.7973659980344,suburban,3.6,0.0,3
Sietske,95.png,120.0,6012.377361010294,suburban,3.6,0.0,3
Sandor_likes_dick,95.png,100.0,3817.7640220092144,suburban,3.6,0.0,3
Mehr,95.png,70.0,9068.789933997323,suburban,3.6,0.0,3
Max ,95.png,140.0,4220.311854005558,suburban,3.6,0.0,3
Pablo,1.png,100.0,7747.157284000024,highway,7.6,2.7,2
Bouke ,1.png,140.0,5972.527705001994,highway,7.6,2.7,2
Anželika,1.png,130.0,11967.963821999547,highway,7.6,2.7,2
Marta,1.png,70.0,16052.747569003259,highway,7.6,2.7,2
Mariusz,1.png,90.0,11535.119775006024,highway,7.6,2.7,2
Artur,1.png,100.0,9747.20798600174,highway,7.6,2.7,2
Iza,1.png,140.0,10887.935286998982,highway,7.6,2.7,2
Marcel,1.png,150.0,3111.9433990024845,highway,7.6,2.7,2
Algha,1.png,90.0,4488.827881999896,highway,7.6,2.7,2
Vincent,1.png,130.0,9215.78611699806,highway,7.6,2.7,2
Pablo,23.png,100.0,5048.261056999991,nature,7.9,0.0,1
Bouke ,23.png,90.0,4312.117477005813,nature,7.9,0.0,1
Liset Middelkoop,23.png,70.0,5556.721680000919,nature,7.9,0.0,1
Jerzy,23.png,100.0,4809.5004679998965,nature,7.9,0.0,1
Marta,23.png,80.0,5242.684294003993,nature,7.9,0.0,1
Maciej Martys,23.png,80.0,5887.59539899911,nature,7.9,0.0,1
Sietske,23.png,60.0,11129.845308998483,nature,7.9,0.0,1
Luke,23.png,80.0,18856.260750006186,nature,7.9,0.0,1
Weronika,23.png,60.0,6302.965820999816,nature,7.9,0.0,1
Misiek,23.png,100.0,3061.952817006386,nature,7.9,0.0,1
Vincent,23.png,80.0,13302.8648999898,nature,7.9,0.0,1
Pablo,39.png,90.0,20086.48236800002,suburban,7.2,1.6,2
Bouke ,39.png,100.0,9676.05235800147,suburban,7.2,1.6,2
Algha,39.png,90.0,8777.222403994529,suburban,7.2,1.6,2
Luke,39.png,70.0,19674.516835992108,suburban,7.2,1.6,2
Kevin Brachthuizen,39.png,70.0,18335.308171997895,suburban,7.2,1.6,2
Patryk,39.png,90.0,8818.757184999413,suburban,7.2,1.6,2
Misiek,39.png,100.0,4587.974296999164,suburban,7.2,1.6,2
Hadi,39.png,70.0,5586.49486899958,suburban,7.2,1.6,2
Pablo,204.png,80.0,14484.162408000031,suburban,4.5,0.0,3
Bouke ,204.png,69.0,7231.074858005741,suburban,4.5,0.0,3
Karole,204.png,100.0,11347.191683000347,suburban,4.5,0.0,3
Inga,204.png,80.0,39718.81113800009,suburban,4.5,0.0,3
Britt,204.png,50.0,10824.090957999942,suburban,4.5,0.0,3
BolekS,204.png,50.0,6685.111336002592,suburban,4.5,0.0,3
Luke,204.png,70.0,11722.722845996032,suburban,4.5,0.0,3
Gideon,204.png,50.0,10826.323797009536,suburban,4.5,0.0,3
Kevin Brachthuizen,204.png,70.0,17371.542854991276,suburban,4.5,0.0,3
Misiek,204.png,60.0,4699.8506099916995,suburban,4.5,0.0,3
Hadi,204.png,80.0,6468.9290590031305,suburban,4.5,0.0,3
Amir,204.png,60.0,7549.77849801071,suburban,4.5,0.0,3
Mj,204.png,80.0,10292.748892010422,suburban,4.5,0.0,3
Pablo,89.png,80.0,22472.76433600001,nature,3.1,2.0,1
Bouke ,89.png,90.0,11541.510414004733,nature,3.1,2.0,1
Mariusz,89.png,80.0,9471.082895004656,nature,3.1,2.0,1
Ewa,89.png,80.0,15844.367974001216,nature,3.1,2.0,1
Luke,89.png,70.0,8108.432371009258,nature,3.1,2.0,1
Patryk,89.png,70.0,7510.120031001861,nature,3.1,2.0,1
Misiek,89.png,100.0,3229.8597780027194,nature,3.1,2.0,1
Mehr,89.png,110.0,12751.878465001937,nature,3.1,2.0,1
Mj,89.png,40.0,9474.385291992803,nature,3.1,2.0,1
Pablo,193.png,70.0,17299.93105599999,nature,7.4,0.0,1
Bouke ,193.png,90.0,4715.88543800317,nature,7.4,0.0,1
Cedric ,193.png,70.0,5541.0385170034715,nature,7.4,0.0,1
Artur,193.png,90.0,9973.081051000918,nature,7.4,0.0,1
